UNIQUE PART TYPES SUMMARY
Name,Width(mm),Height(mm),Thickness(mm),Material,Grain Direction,Total Quantity,Total Area(mm²)
P59,Shelf 2,230,560,20,Plywood,128800,7,1200,0,No,vertical
P60,Shelf 2,230,560,20,Plywood,128800,7,1440,0,No,vertical
P61,Shelf 1,230,560,20,Plywood,128800,7,1680,0,No,vertical
P62,Back board,560,660,20,Hardwood Plywood (4C2IOU),369600,8,0,0,No,any
P63,Back board,560,660,20,Hardwood Plywood (4C2IOU),369600,8,570,0,No,any
P64,Back board,560,660,20,Hardwood Plywood (4C2IOU),369600,8,1140,0,No,any
P65,Back board,560,660,20,Hardwood Plywood (4C2IOU),369600,8,1710,0,No,any
P66,Up board,300,560,20,Hardwood Plywood (4C2IOU),168000,9,0,0,No,vertical
P67,Up board,300,560,20,Hardwood Plywood (4C2IOU),168000,9,310,0,No,vertical
P68,Up board,300,560,20,Hardwood Plywood (4C2IOU),168000,9,620,0,No,vertical
P69,Up board,300,560,20,Hardwood Plywood (4C2IOU),168000,9,930,0,No,vertical
P70,CounterTop,590,600,45,GRANITE,354000,10,0,0,No,any
P71,CounterTop,590,600,45,GRANITE,354000,10,600,0,No,any
P72,CounterTop,590,600,45,GRANITE,354000,10,1200,0,No,any
P73,CounterTop,590,600,45,GRANITE,354000,10,1800,0,No,any

BOARDS SUMMARY
Board#,Material,Stock Size,Parts Count,Used Area(mm²),Waste Area(mm²),Waste %,Efficiency %
1,CHESTNUT_WOOD,2440.0mm x 1220.0mm,9,2470604,506196,17,83
2,CHESTNUT_WOOD,2440.0mm x 1220.0mm,13,2190785,786015,26.4,73.6
3,CHESTNUT_WOOD,2440.0mm x 1220.0mm,12,1730793,1246007,41.86,58.14
4,Oak (CPRTF8),2440.0mm x 1220.0mm,5,1848000,1128800,37.92,62.08
5,Oak (CPRTF8),2440.0mm x 1220.0mm,10,1776000,1200800,40.34,59.66
6,Oak (CPRTF8),2440.0mm x 1220.0mm,4,516000,2460800,82.67,17.33
7,Plywood,2440.0mm x 1220.0mm,8,1030400,1946400,65.39,34.61
8,Hardwood Plywood (4C2IOU),2440.0mm x 1220.0mm,4,1478400,1498400,50.34,49.66
9,Hardwood Plywood (4C2IOU),2440.0mm x 1220.0mm,4,672000,2304800,77.43,22.569999999999993
10,GRANITE,2440.0mm x 1220.0mm,4,1416000,1560800,52.43,47.57

OVERALL SUMMARY
Total Parts Instances,73
Total Unique Part Types,18
Total Boards,10
Total Stock Area (mm²),29768000
Total Used Area (mm²),15128982
Total Waste Area (mm²),14639018
Overall Waste %,49.18
Overall Efficiency %,50.82
